"filename", "language", "XML", "Markdown", "MS SQL", "YAML", "Java", "JSON", "PostCSS", "Java Properties", "comment", "blank", "total"
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/fxml/pages/admin-page.fxml", "XML", 110, 0, 0, 0, 0, 0, 0, 0, 16, 22, 148
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/fxml/pages/auction-page.fxml", "XML", 194, 0, 0, 0, 0, 0, 0, 0, 15, 21, 230
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/fxml/pages/create-listing-page.fxml", "XML", 101, 0, 0, 0, 0, 0, 0, 0, 2, 24, 127
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/fxml/pages/general-page.fxml", "XML", 116, 0, 0, 0, 0, 0, 0, 0, 1, 9, 126
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/fxml/pages/personal-profile-page.fxml", "XML", 224, 0, 0, 0, 0, 0, 0, 0, 19, 42, 285
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/fxml/pages/product-detail-page.fxml", "XML", 126, 0, 0, 0, 0, 0, 0, 0, 0, 13, 139
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/fxml/pages/public-seller-page.fxml", "XML", 84, 0, 0, 0, 0, 0, 0, 0, 17, 23, 124
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/fxml/pages/sellers-page.fxml", "XML", 31, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/i18n/messages_en.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"/mnt/windows-data/01_learn/k70_year_1/term_2/lap_trinh_nang_cao/projects/TheAllNewBinance/client/src/main/resources/i18n/messages_vi.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
